name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Mini Panettone Cake,"Brand: MOTTA
CASE | 30 x 90 GR",,,601275,73b89a6a-cab8-407f-99b4-ebcee1c3e512,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Mondo Motors Chocolate Milk Eggs,"Brand: DOLGAM
CASE | 9 x 10.5 OZ (300G)",,,600850,86ac6abe-25ce-4b0d-af6b-c00460368da2,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7d2fa212-3efe-46f2-af4b-6c29e4711afb.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Nut Bar with Almond Raisin Dark Chocolate,"Brand: QUARANTA
CASE | 10 x 4.23 OZ",,,723742,9127b77d-f430-4f3e-ba9a-12bfdae52e60,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/77bd0539-05be-45b5-b9d3-f6cbdc815877.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Nut Bar with Hazelnut Cashew Candied Pears,"Brand: QUARANTA
CASE | 10 x 4.23 OZ",,,723743,2d99ff7e-8988-48aa-868c-656f8058d163,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7c4271e5-5651-4d0d-8ea6-e619b6bffe87.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Organic Pork & Chicken Liver Mousse With Wild Mush,"Brand: THREE PIGS
CASE | 8 x 4 OZ",,,415565,6e9c3100-0d06-460d-a6c6-114460b22a3e,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c9e77255-0e63-451a-a2e6-f54c8c9fea4c.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Pandoro Chocolate Chip Cake,"Brand: BAULI
CASE | 8 x 750 GR",,,600576,39409979-c7c0-43dd-a1f1-068584e709e3,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2540fbb3-1f81-46e3-b9f1-7f348f30d635.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Pandoro Mini Cake,"Brand: BALOCCO
CASE | 32 x 80 GR",,,641132,e4fc4961-7c17-40e1-ae7a-eea0605d3e8e,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f0fb4ed6-8495-5eff-abc9-79b0e01bcc62.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Pandoro Tartufone Cake,"Brand: MOTTA
CASE | 16 x 800 GR",,,601281,ebec79f0-00d6-4628-8495-1702ebad9a22,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Pandoro Traditional Cake,"Brand: BINDI
CASE | 6 x 1 KG",,,303228,d57065e2-8d2f-4347-a354-1f92bbf3c258,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/79066c0d-866d-4e2f-92f9-2a7f1b70e05a.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panettone Cake Mandorlato Wrap,"Brand: BALOCCO
CASE | 6 x 2.2 LB",,,641151,707a158d-21fe-4288-9470-110e6ca5a113,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0eed8b49-5c18-5142-a7c5-965df318670f.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
PANETTONE MARRON GLACE FILLED,"Brand: BORGO
CASE | 6 x 500 GR",,,529899,2bfc1001-1c3f-41b7-b9f8-b936bd027c77,EACH,,CASE,,8.73603E+12,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8bf69e6e-09fa-4e2c-9ca8-9b583d620ec6.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panettone Milanese Basso Cake,"Brand: TRE MARIE
CASE | 12 x 26.46 OZ (750G)",,,600810,2b7b7818-4289-41b6-9bdc-27a51272a74a,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/76c29a4f-41a6-560b-971a-24fe1b10235f.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panettone Mini Cake,"Brand: BALOCCO
CASE | 32 x 100 GR",,,641123,263cbb4e-9ca0-42e1-9bf7-d6a791cf2fc1,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2f24a869-cf73-5142-8ffc-63918c37407b.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panettone Senza Canditi Cake,"Brand: TRE MARIE
CASE | 12 x 35.3 OZ",,,600815,c2f43ff0-2097-4b52-b11f-974b69b8682c,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/3705cd6c-8fa1-58c6-8530-7fc2b0bc7551.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panettone Tartufone Cake,"Brand: MOTTA
CASE | 16 x 800 GR",,,601282,33f69f2f-7e05-4d8a-b9bf-d795b3b10967,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Panna Cotto & Caramel Cream Filled Cake,"Brand: BALOCCO
CASE | 12 x 650 GR",,,641171,2bc563f3-f144-4ff4-af8b-a32b27e40027,EACH,,CASE,,,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Peanut Brittle with Sea Salt,"Brand: QUARANTA
CASE | 10 x 115 GR",,,622822,0f7332c6-a6c8-48c0-a6cb-09c6530c2cf6,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8f944475-b6ec-4c23-8605-2dbe3c8bb07c.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Pist/Nocciola Pandoro Maxiciok,"Brand: BALOCCO
CASE | 12 x 800 GR",,,641214,fafb0ec2-55fe-4ace-a1ec-beac673fdc55,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2d892a07-bdc5-5dfc-9a1a-397350656a1c.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
