name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level 2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
SAMPLE KIT LILLY'S PASTA,"Brand: LILLY'S PASTA
CASE | 1 x 7 BAGS/FLAVORS",,,715175,8a58c350-82a5-4723-9d5c-6f7c33710db2,EACH,,CASE,,,,,,,,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Sardi Pasta #47,"Brand: RISCOSSA
CASE | 20 x 1 LB",,,856948,282e75ee-3381-47d8-b8b1-91573900836b,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/776efbef-8e20-5e89-8ca8-72c34fd83863.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Scialatelli Fresh Pasta,"Brand: SAPORI DEL VAL
CASE | 10 x 1.1 LBS",,,856884,3fa0440d-204b-40ee-9301-1c38a32cfce1,EACH,,CASE,,,,,,,,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Scrigni with Apulian Burrata Cheese,"Brand: DIVINE
CASE | 1 x 4.4 LB",,,715068,231d5b07-c971-4098-9d12-37d1cf0d0411,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2fdde82c-88b1-41c6-972e-222611f878e2.png""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Seasoning for Pasta con Sarde (Sardines),"Brand: CUOCO
CASE | 24 x 14.5 OZ",,,711156,6be4fa63-bdd7-4a44-a028-9b47d469409c,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/bb2377ce-4a9c-5fa4-900a-6dcd152f0245.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Sedani Turanici Pasta,"Brand: MANCINI
CASE | 12 x 500 GM",,,857006,729b3edc-f484-4295-b7a0-6c9f0d4e3d85,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/75cecaa1-062b-5aaf-8f41-109bcb826fe4.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Serpentini Pasta #51,"Brand: RISCOSSA
CASE | 20 x 1 LB",,,808078,fed83c85-097c-4291-a009-882b684e4b85,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/1291054f-5738-563d-b5df-e2c271ae519b.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Shell Pasta For Soup,"Brand: COLAVITA
CASE | 20 x 1 LB",,,857009,b23d7ebe-4d69-480b-83cb-81f3f3f55323,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9b252dfc-b041-52f0-823b-25bde8879554.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Shells Pasta #50,"Brand: DE CECCO
CASE | 12 x 1 LB",,,808061,18c9278d-c503-4524-ab11-4959ec5ee1ee,EACH,,CASE,,24094001286,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c88d90bc-186b-5524-b2c2-10d9e6676055.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
Short Fusilli Pasta #48,"Brand: RISCOSSA
CASE | 20 x 1 LB",,,710763,7ca8af24-e3ee-4349-81e4-da4afe09785a,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/1cbcf5e9-93e5-5e04-8b87-ece9b4d74290.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
