name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand, category,,,,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,Group,Level 1 Category,Level 2 Category
"* Chicken, Cheese & Hatch Cheese Rolled Tacos","Brand: POSADA
CASE | 72 x 2 OZ",,,326706,58743b8a-4c0d-4221-a471-18097811b542,,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5ca3a3ec-aa24-455f-a75d-9b024191709e.png""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Croquette Party Sized,"Brand: CATALINA
CASE | 6 x 100 CT",,,362995,6c38d283-f89a-4a7c-8365-e2e4bdab381d,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a65958b5-9c3e-4d88-82e6-a07eba2f48c7.png""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Empanada,"Brand: TIA MARIA
CASE | 50 x 4.58 OZ",,,364947,f40b582c-76f3-4d73-b001-87e517229483,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f1abaf15-d7f8-5fff-b610-6707ae0afd9e.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
* Chicken Lemongrass Potstickers,"Brand: CHEF ONE
CASE | 3 x 50 CT",,,450472,1e82e0ac-1d43-4dd2-9c0e-f2fe355d7445,,,CASE,,1.08E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/dd31e61b-e18f-5b11-908a-788059e6ec67.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
* Chicken Mini Taco,"Brand: POSADA
CASE | 4 x 4 LB",,,362690,2a0d29a3-d9d7-4c55-851b-00e2dc7e7335,,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c7dd27fc-68b0-494d-bf0f-6cd2956ce060.png""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Parmesan Puffs,"Brand: SAUGATUCK
CASE | 100 x .6 OZ",,,366577,fb602275-f751-4c17-8a46-c42088094947,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/311011a2-494e-53d5-9562-067479cd7f08.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Potsticker,"Brand: ROYAL DRAGON
CASE | 120 x 1 OZ",,,364707,a6792be1-0838-4cb0-9bed-57c8e988678c,,,CASE,,78024041743,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9840f87a-112b-4b3a-b755-b9fc6fda7329.png""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Salsa Verde Empanada,"Brand: SAUGATUCK
CASE | 100 x .75 OZ",,,364948,9fcd40c2-9b40-4a5e-bdad-a600317edefd,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e4a58adf-b7bf-539d-90db-45f56f5fd0cd.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken & Spinach Meatball,"Brand: SAUGATUCK
CASE | 100 x .75 OZ",,,362940,a9cfdc4f-d231-4a0b-ad5b-0dd3c282fe00,,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e4a3c503-4596-57bd-b077-ba6ced61a2f8.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
Chicken Teriyaki Potstickers,"Brand: CHEF ONE
CASE | 3 x 2.5 LB",,,450418,d5aaccdd-1157-4f16-9d5c-628b3c5aa577,,,CASE,,1.08E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a805aad4-662c-5cde-8bf3-d1c78b892483.jpg""]",,,,,,,Appetizers,,,,,,Ace Endico,,,,Food,Frozen,Appetizers
