"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"SESAME SEEDS WHITE HULLED 5 LB","4349","1 JAR","N/A","",,"","","","","JAR","","https://www.badgermurphy.com/product/sesame-seeds-white-hulled-5-lb/","N/A","","","","","","Badger Murphy","",""
,"SHALLOTS WHOLE PEELED 5 LB *","4587","1 GAL.","PC.","",,"","","","","PC.","","https://www.badgermurphy.com/product/shallots-whole-peeled-5-lb/","N/A","","","","","","Badger Murphy","",""
,"SHELL SHIPPERS FILLO MINI 60/1.9 OZ +","8257","1 CASE +","1.9 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/shell-shippers-fillo-mini-60-1-9-oz/","ATHENS","","","","","","Badger Murphy","",""
,"SHELLS JUMBO YEAST RAISED UNFILLED (BISMARKS)THAW & FINISH +","5302","1 CASE +","2.25 OZ","",,"","","","","CASE","","https://www.badgermurphy.com/product/shells-jumbo-yeast-raised-unfilled-bismarksthaw-finish/","MEL-O-CREAM","","","","","","Badger Murphy","",""
,"SHELLS TART BAKED 72/3 IN","9377","1 CASE","1.05 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/shells-tart-baked-72-3-in/","BURRY","","","","","","Badger Murphy","",""
,"SHERBET CUPS ORANGE 72/4 OZ","0852","1 CASE","4 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sherbet-cups-orange-72-4-oz/","DEANS","","","","","","Badger Murphy","",""
,"SHERBET CUPS RASPBERRY 72/4 OZ","0854","1 CASE","4 OZ.","",,"","","","","CASE","","https://www.badgermurphy.com/product/sherbet-cups-raspberry-72-4-oz/","DEANS","","","","","","Badger Murphy","",""
,"SHERBET RAINBOW 3 GAL","0776","1 TUB","3 GAL.","",,"","","","","TUB","","https://www.badgermurphy.com/product/sherbet-rainbow-3-gal/","N/A","","","","","","Badger Murphy","",""
,"SHORTENING ALL PURPOSE 50 LB","1214","1 CUBE","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-all-purpose-50-lb/","BUTCHER BOY","","","","","","Badger Murphy","",""
,"SHORTENING ANIMAL/VEGETABLE 50 LB +","1221","1 CUBE +","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-animal-vegetable-50-lb/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHORTENING ANIMAL/VEGETABLE DEODORIZED 50 LB BUTCHER BOY +","604105","1 CUBE +","50 LB","",,"","","","","CASE","","https://www.badgermurphy.com/product/shortening-animal-vegetable-deodorized-50-lb-butcher-boy/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHORTENING BAKERS 50 LB PRIMEX *","1245","1 CUBE *","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-bakers-50-lb-primex/","PRIMEX","","","","","","Badger Murphy","",""
,"SHORTENING CAKE & ICING 50 LB HYMO","1215","1 CUBE","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-cake-icing-50-lb-hymo/","HYMO","","","","","","Badger Murphy","",""
,"SHORTENING CAKE & ICING 50 LB SWEETEX GOLDEN FLEX","1220","1 CUBE","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-cake-icing-50-lb-sweetex-golden-flex/","SWEETEX","","","","","","Badger Murphy","",""
,"SHORTENING CAKE HIGH RATIO 50 LB","1214H","1 CUBE","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-cake-high-ratio-50-lb/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHORTENING CAKE LIQUID 38 LB WHITE CAP (FLUID FLEX)","1205","1 PAIL","N/A","",,"","","","","PAIL","","https://www.badgermurphy.com/product/shortening-cake-liquid-38-lb-white-cap-fluid-flex/","VENTURA","","","","","","Badger Murphy","",""
,"SHORTENING DONUT 50 LB","1235","1 CUBE","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-donut-50-lb/","BUTCHER BOY","","","","","","Badger Murphy","",""
,"SHORTENING DONUT 50 LB SUPERFRY SOY FLEX +","1233","1 CUBE +","N/A","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-donut-50-lb-superfry-soy-flex/","SUPER FRY","","","","","","Badger Murphy","",""
,"SHORTENING HIGH RATION ZERO TRANS FAT 50 LB +","1201","1 CUBE +","50 LB.","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-high-ration-zero-trans-fat-50-lb/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHORTENING ICING ALPINE (R) 50 LB +","1216","1 CUBE +","N/A","",,"","","","","CASE","","https://www.badgermurphy.com/product/shortening-icing-alpine-r-50-lb/","ALPINE","","","","","","Badger Murphy","",""
,"SHORTENING LIQUID CANOLA CREAMY 35 LB","1237","1 CASE +","N/A","",,"","","","","PAIL","","https://www.badgermurphy.com/product/shortening-liquid-canola-creamy-35-lb/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHORTENING LIQUID CLEAR 35 LB","1236A","1 CASE","N/A","",,"","","","","PAIL","","https://www.badgermurphy.com/product/shortening-liquid-clear-35-lb/","BUTCH BOY","","","","","","Badger Murphy","",""
,"SHORTENING LIQUID CREAMY 35 LB","1236","1 PAIL","N/A","",,"","","","","PAIL","","https://www.badgermurphy.com/product/shortening-liquid-creamy-35-lb/","SUNRISE","","","","","","Badger Murphy","",""
,"SHORTENING PALM BLEND A 50 LB +","1203","1 CUBE +","50 LB.","",,"","","","","CUBE","","https://www.badgermurphy.com/product/shortening-palm-blend-a-50-lb/","COLUMBUS","","","","","","Badger Murphy","",""
,"SHRIMP 13/15 RAW P&D TAIL ON 10 LB +","6321","10 LB. +","13/15","",,"","","","","CASE","","https://www.badgermurphy.com/product/shrimp-13-15-raw-pd-tail-on-10-lb/","N/A","","","","","","Badger Murphy","",""
,"SHRIMP 16/20 BREADED COCONUT 4/3 LB *","6322","12 LB. +","16/20 CNT","",,"","","","","CASE","","https://www.badgermurphy.com/product/shrimp-16-20-breaded-coconut-4-3-lb/","GOLDEN HARVEST","","","","","","Badger Murphy","",""
,"SHRIMP 31/40 RAW P&D TAIL ON 10 LB +","6323","10 LB. +","31/40 CNT","",,"","","","","CASE","","https://www.badgermurphy.com/product/shrimp-31-40-raw-pd-tail-on-10-lb/","N/A","","","","","","Badger Murphy","",""
,"SHRIMP BEER BATTERED 10 LB *","6311","1 CASE *","N/A","",,"","","","","CASE","","https://www.badgermurphy.com/product/shrimp-beer-battered-10-lb/","BROASTER","","","","","","Badger Murphy","",""
