"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"BAGS PLASTIC STORAGE GALLON SIZE 250 CT ZIPLOCK *","4081","1 CASE *","1 GALLON","",,"","","","","","","https://www.badgermurphy.com/product/bags-plastic-storage-gallon-size-250-ct-ziplock/","ZIPLOC","","","","","","Badger Murphy","",""
,"BAGS PLASTIC STORAGE QUART SIZE 500 CT ZIPLOCK *","4085","1 BOX *","QUART","",,"","","","","","","https://www.badgermurphy.com/product/bags-plastic-storage-quart-size-500-ct-ziplock/","ZIPLOC","","","","","","Badger Murphy","",""
,"BAGS POLY 8x4x18 IN 1000 CT","4080","1 CASE","8""x4""x18""","",,"","","","","","","https://www.badgermurphy.com/product/bags-poly-8x4x18-in-1000-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS SANDWICH PLAIN 508 1000 CT *","4116","1 BOX *","6x.75x6.5""","",,"","","","","","","https://www.badgermurphy.com/product/bags-sandwich-plain-508-1000-ct/","N/A","","","","","","Badger Murphy","",""
,"BAGS T-SHIRT PLASTIC 1/6 500 CT AVG","4086","1 CASE","12x7x22","",,"","","","","","","https://www.badgermurphy.com/product/bags-t-shirt-plastic-1-6-500-ct-avg/","N/A","","","","","","Badger Murphy","",""
,"BAKERS CHEESE 30 LB","0210D","30 LB.","N/A","",,"","","","","","","https://www.badgermurphy.com/product/bakers-cheese-30-lb/","HAHNS","","","","","","Badger Murphy","",""
,"BAKERY TISSUE 15×10.75 IN 6/1000 *","4094","1 CASE *","15x10-3/4","",,"","","","","","","https://www.badgermurphy.com/product/bakery-tissue-15x10-75-in-6-1000/","DURABLE","","","","","","Badger Murphy","",""
,"BAKERY TISSUE 6 x 10.75 IN 10/1000 CT *","4096","1 CASE *","6x10.75","",,"","","","","","","https://www.badgermurphy.com/product/bakery-tissue-6-x-10-75-in-10-1000-ct/","MARCAL","","","","","","Badger Murphy","",""
,"BAKERY TISSUE 8×10.75 IN 10/1000 +","4095","1 CASE +","8x10-3/4","",,"","","","","","","https://www.badgermurphy.com/product/bakery-tissue-8x10-75-in-10-1000/","N/A","","","","","","Badger Murphy","",""
,"BAKING CUP RED 6 IN 10M CT *","4196","1 CASE *","30EX","",,"","","","","","","https://www.badgermurphy.com/product/baking-cup-red-6-in-10m-ct/","N/A","","","","","","Badger Murphy","",""
,"BAKING CUP TULIP 2 10/100 CT *","953100","1 CASE *","100 CT","",,"","","","","","","https://www.badgermurphy.com/product/baking-cup-tulip-2-10-100-ct/","N/A","","","","","","Badger Murphy","",""
,"BAKING CUPS 3 IN 20/500 CT +","4192","1 CASE +","1.25""x.875","",,"","","","","","","https://www.badgermurphy.com/product/baking-cups-3-in-20-500-ct/","PPP","","","","","","Badger Murphy","",""
,"BAKING CUPS 4.5 IN 20/500 CT *","4191","1 CASE *","4.5 INCH","",,"","","","","","","https://www.badgermurphy.com/product/baking-cups-4-5-in-20-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAKING CUPS 6 IN 20/500 CT","4190","1 CASE","2.25x1.875","",,"","","","","","","https://www.badgermurphy.com/product/baking-cups-6-in-20-500-ct/","N/A","","","","","","Badger Murphy","",""
,"BAKING CUPS CHINO RED 6000 CT *","4193","1 CASE *","N/A","",,"","","","","","","https://www.badgermurphy.com/product/baking-cups-chino-red-6000-ct/","N/A","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING 4/10 LB *","0307","1 CASE *","10 LB.","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-4-10-lb-2/","CLABBER GIRL","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING 10 LB","0309","1 CAN","10 LB.","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-10-lb/","EAGLE","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING 4/10 LB +","0303A","40 LB. +","10 LB.","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-4-10-lb/","EAGLE","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING 50 LB","0303B","50 LB.","N/A","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-50-lb/","N/A","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING 6/5 LB","0308","1 CASE","5 LB.","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-6-5-lb/","CALUMET","","","","","","Badger Murphy","",""
,"BAKING POWDER DOUBLE ACTING NO SODIUM 6/5 LB +","0303D","1 CASE +","5 LB.","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-double-acting-no-sodium-6-5-lb/","RED STAR","","","","","","Badger Murphy","",""
,"BAKING POWDER SINGLE ACTING 50 LB","0303C","50 LB.","N/A","",,"","","","","","","https://www.badgermurphy.com/product/baking-powder-single-acting-50-lb/","RED STAR","","","","","","Badger Murphy","",""
,"BAKING SODA (SODIUM BICARBONATE) 50 LB","0304","1 BAG","N/A","",,"","","","","","","https://www.badgermurphy.com/product/baking-soda-sodium-bicarbonate-50-lb/","N/A","","","","","","Badger Murphy","",""
,"BAKING SODA 24/16 OZ","9017","1 CASE","16 OZ.","",,"","","","","","","https://www.badgermurphy.com/product/baking-soda-24-16-oz/","ARM&HAMMER","","","","","","Badger Murphy","",""
,"BALANCED BREAKS CHED/CASHEW/CRAN 4/3/1.5 OZ *","300050","1 CASE *","1.5 OZ","",,"","","","","","","https://www.badgermurphy.com/product/balanced-breaks-ched-cashew-cran-4-3-1-5-oz/","SARGENTO C STORE","","","","","","Badger Murphy","",""
,"BALANCED BREAKS COLBYJACK/DK CHOC PEANUTS 4/3/1.5 OZ *","300051","1 CASE *","1.5 OZ","",,"","","","","","","https://www.badgermurphy.com/product/balanced-breaks-colbyjack-dk-choc-peanuts-4-3-1-5-oz/","SARGENTO C STORE","","","","","","Badger Murphy","",""
,"BALANCED BREAKS WHT CHED/ALMONDS/CRAN 4/3/1.5 OZ *","300052","1 CASE *","1.5 OZ","",,"","","","","","","https://www.badgermurphy.com/product/balanced-breaks-wht-ched-almonds-cran-4-3-1-5-oz/","SARGENTO C STORE","","","","","","Badger Murphy","",""
,"BANANA FLAVOR","0413","1 GAL","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/banana-flavor/","MAR-VA-FLO","","","","","","Badger Murphy","",""
,"BANANA PURDD 30 OZ","840400","1 TUB","30 OZ","",,"","","","","","","https://www.badgermurphy.com/product/banana-purdd-30-oz/","PERFECT PUREE","","","","","","Badger Murphy","",""
,"BANANA PUREE ACIDIFIED 51.81 LB BAG-IN-BOX","0601P","1 CASE","51.81 LB.","",,"","","","","","","https://www.badgermurphy.com/product/banana-puree-acidified-51-81-lb-bag-in-box/","N/A","","","","","","Badger Murphy","",""
,"BANANA SLICES IQF 2/5 LB *","847010","1 CASE *","5 LB","",,"","","","","","","https://www.badgermurphy.com/product/banana-slices-iqf-2-5-lb/","DOLE","","","","","","Badger Murphy","",""
,"BANANA SLICES IQF 30 LB +","0625","1 CASE +","N/A","",,"","","","","","","https://www.badgermurphy.com/product/banana-slices-iqf-30-lb/","SAVOR BRANDS","","","","","","Badger Murphy","",""
,"BANANAS GREEN STAGE 1 & 2 40 LB","4581","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/bananas-green-stage-1-2-40-lb/","N/A","","","","","","Badger Murphy","",""
,"BANANAS PLANTAINS GREEN 40 LB","4510","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/bananas-plantains-green-40-lb/","N/A","","","","","","Badger Murphy","",""
,"BANANAS TURN 10 LB","4547R","10 LB.","PC.","",,"","","","","","","https://www.badgermurphy.com/product/bananas-turn-10-lb/","N/A","","","","","","Badger Murphy","",""
,"BANANAS TURN STAGE 3 & 4 40 LB","4547","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/bananas-turn-stage-3-4-40-lb/","N/A","","","","","","Badger Murphy","",""
,"BANANAS YELLOW 40 LB","4547S","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/bananas-yellow-40-lb/","N/A","","","","","","Badger Murphy","",""
,"BAR ASST #1 (OATMEAL-RASPBERRY-7 LAYER-LEMON) *","8618","1 CASE *","UNSLICED","",,"","","","","","","https://www.badgermurphy.com/product/bar-asst-1-oatmeal-raspberry-7-layer-lemon/","DIANNES","","","","","","Badger Murphy","",""
,"BAR LEMON OLD FASHIONED 4/51 OZ +","8650","1 CASE +","51 OZ.","",,"","","","","","","https://www.badgermurphy.com/product/bar-lemon-old-fashioned-4-51-oz/","DIANNES","","","","","","Badger Murphy","",""
,"BAR OREO DREAM UNSLICED 12.76 LB +","8619","1 CASE +","8 x13","",,"","","","","","","https://www.badgermurphy.com/product/bar-oreo-dream-unsliced-12-76-lb/","SWEET STREET","","","","","","Badger Murphy","",""
,"BAR RASPBERRY 5.0625 LB *","843040","1 CASE *","5.0625 LBS","",,"","","","","","","https://www.badgermurphy.com/product/bar-raspberry-5-0625-lb/","DESSERTWERKS","","","","","","Badger Murphy","",""
,"BAR TURTLE 144/2 OZ *","842417","1 CASE *","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bar-turtle-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARBEQUE (BBQ) SPICE 6 LB","9044C","1 JAR","6 LB.","",,"","","","","","","https://www.badgermurphy.com/product/barbeque-bbq-spice-6-lb/","N/A","","","","","","Badger Murphy","",""
,"BARLEY PEARL 25 LB BAG","4272","1 CASE","N/A","",,"","","","","","","https://www.badgermurphy.com/product/barley-pearl-25-lb-bag/","N/A","","","","","","Badger Murphy","",""
,"BARS CHOCOLATE DOUBLE 144/2 OZ","842411","1 CASE","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-chocolate-double-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARS LEMON SUGAR FREE 144/2 OZ *","842401","1 CASE *","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-lemon-sugar-free-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARS LEMON 144/2 OZ","842410","1 CASE","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-lemon-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARS PECAN PIE 144/2 OZ *","842416","1 CASE *","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-pecan-pie-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARS RASP CRUMBLE SVRLD144/2oz","842414","1 CASE","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-rasp-crumble-svrld144-2oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
,"BARS SALTED CARAMEL 144/2 OZ","842412","1 CASE","2 OZ","",,"","","","","","","https://www.badgermurphy.com/product/bars-salted-caramel-144-2-oz/","ATHENAS SILVERLAND","","","","","","Badger Murphy","",""
